mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
105.91987846692403,0.6631581986098187,0.6517201741536458,0.005995982454475094,0.15,5,1000,"{'max_features': 0.15, 'min_samples_split': 5, 'n_estimators': 1000}",0.9997720986131615,0.999583611199484,0.9995438708754223,0.9995276937960782,0.9997207806866986,0.9997452506743448,0.9995224539847241,0.999602636731589,0.9997442683977779,0.999933486469811,0.9992827705323997,0.9994754427203627,0.9990616356054585,0.9996178755813299,0.9998851113284738,0.999601265813141,0.000215957881845664,11
105.99615813891093,1.0909839175895961,0.6556626637776692,0.008745174842078755,0.15,3,1000,"{'max_features': 0.15, 'min_samples_split': 3, 'n_estimators': 1000}",0.9997453181134752,0.999585470276565,0.9995215818435741,0.9995348579597616,0.9996806937644219,0.9997281308923934,0.9995253083386129,0.9996112856204095,0.999745481707704,0.9999406456450022,0.9993870457474541,0.9992828851299569,0.9991423184454256,0.99969622711724,0.9998853013288386,0.9996008367953891,0.00020713775189249925,12
107.81370579401651,0.9284415156066746,0.7776750087738037,0.01011815294442522,0.13,7,1200,"{'max_features': 0.13, 'min_samples_split': 7, 'n_estimators': 1200}",0.9997879822382814,0.9995818430370427,0.9995420017012959,0.999509310802507,0.9997097674399956,0.9997120566941053,0.9994691365383511,0.999641501510475,0.9997482179600657,0.9999103360762087,0.9993323426101327,0.9994144724205327,0.9991923905348159,0.9995912901677408,0.9998687335291738,0.9996007588840484,0.0001920897287450421,13
107.92283492088318,0.8422855130147638,0.7773472150166829,0.006988672874703471,0.13,5,1200,"{'max_features': 0.13, 'min_samples_split': 5, 'n_estimators': 1200}",0.9997794120275542,0.9995912685927619,0.9995491601109148,0.9994999036191979,0.9996841209147748,0.9997235563187867,0.9994860128502717,0.9996703179333171,0.9997669541445035,0.9999257719101007,0.9992184766520283,0.9993983123912102,0.9991906204847757,0.9996237705035812,0.9998895847487791,0.9995998162135038,0.000209348750795192,14
28.479030323028564,1.2462229688425432,0.6601381301879883,0.03764785579722253,0.05,3,800,"{'max_features': 0.05, 'min_samples_split': 3, 'n_estimators': 800}",0.9997318907100281,0.9996459279038161,0.9995008331779468,0.9995530353301136,0.9997326044523854,0.9997829185693214,0.9994892924956501,0.999716672078201,0.9996883009774301,0.9999179001665628,0.9992418225729274,0.9994138134189654,0.9990231706107007,0.9996516848617343,0.9998707753188943,0.9995973761763117,0.00022933083907912655,15
132.5571359952291,1.3960489655094321,0.6486199696858724,0.005520129900998653,0.19,7,1000,"{'max_features': 0.19, 'min_samples_split': 7, 'n_estimators': 1000}",0.9997517489933486,0.9995571910320485,0.9995652398896677,0.999467495490873,0.9996978353005392,0.999678644314716,0.9995005600252471,0.9996358872085681,0.9997729425812057,0.9999220443342309,0.9993476908381709,0.9995037922796998,0.9991399953810409,0.9995414891314265,0.9998743388818003,0.9995971263788389,0.00019446717040869045,16
63.44478777249654,0.47676239811607274,0.7946928819020589,0.012696413196126455,0.07,5,1200,"{'max_features': 0.07, 'min_samples_split': 5, 'n_estimators': 1200}",0.9997654105886481,0.9996190536394766,0.9995009136745446,0.9995205965521808,0.9997218443072716,0.9997067779325635,0.9995249124349505,0.9996150187993831,0.9997448180922982,0.9999193858657682,0.9993695619206298,0.9993665352695805,0.9990248493587901,0.9996663011864154,0.9998799135296809,0.9995963928768121,0.0002190731387169433,17
132.55098444620768,1.074576994317312,0.649541441599528,0.005302139413718985,0.19,3,1000,"{'max_features': 0.19, 'min_samples_split': 3, 'n_estimators': 1000}",0.9997467304230729,0.9995814025773735,0.9995530522480397,0.9995158451002201,0.9997019914209911,0.9997575741606791,0.9994454538951129,0.999700367953681,0.9997739683508108,0.9999321857305199,0.9992123595463303,0.9994166205906467,0.9991234610382762,0.9995875894570874,0.9998799395876464,0.9995952361386994,0.00022062434845340786,18
210.7656260172526,2.016176753297211,0.7668972333272298,0.006501864907322632,0.25,3,1200,"{'max_features': 0.25, 'min_samples_split': 3, 'n_estimators': 1200}",0.9997228803393348,0.9996202042610374,0.9995470897600371,0.9993750055998326,0.9997037849309637,0.9997174108093285,0.9995000319386268,0.9996388277582489,0.99976948957621,0.9999395258694987,0.9992745346058418,0.9994334823727262,0.9991611715565314,0.9996167480748879,0.9998977901497309,0.9995945318401892,0.000210353562636348,19
158.93308876355488,1.3689377702627699,0.7703935305277506,0.006228505438416516,0.19,5,1200,"{'max_features': 0.19, 'min_samples_split': 5, 'n_estimators': 1200}",0.9997662417085765,0.999586959116075,0.9995872682892945,0.9993896782195504,0.9997320613462455,0.9997122607935989,0.9995102161651159,0.9996222826776797,0.9997572413054499,0.9999285903657462,0.9992981270678294,0.9993963048295893,0.9991159024993529,0.9996261339485446,0.9998816143346744,0.9995940588444883,0.00021446523432071116,20
71.76973837216696,0.5793643168746633,0.5297565460205078,0.0030026300191307777,0.13,7,800,"{'max_features': 0.13, 'min_samples_split': 7, 'n_estimators': 800}",0.9997467006327962,0.9995537298554676,0.999535010589802,0.9994576410665102,0.9997022550541754,0.9996988036221148,0.9995271725752028,0.9995944323752205,0.9997281033429356,0.9999154818801725,0.9994024180599193,0.9993773030981747,0.999187059752835,0.9996127661284306,0.9998665042341848,0.9995936921511961,0.0001860800698601147,21
108.0545919895172,0.914786967231184,0.7844726403554281,0.016102333938865707,0.13,3,1200,"{'max_features': 0.13, 'min_samples_split': 3, 'n_estimators': 1200}",0.9997757238356314,0.999566026720854,0.9996192877707335,0.9993423959019712,0.9997070216154388,0.9997124637808501,0.999519449585821,0.9997034161838266,0.9997857338660039,0.9999356699179083,0.9993076718045396,0.9992528869579564,0.9990882744950416,0.9996745044929725,0.9998923798875328,0.9995921937878054,0.00023736756319941957,22
140.0021355311076,1.2726558403036294,0.5254377683003744,0.007264310607743986,0.25,5,800,"{'max_features': 0.25, 'min_samples_split': 5, 'n_estimators': 800}",0.9996696647926546,0.9995702145562413,0.9995152558269454,0.9994869426487183,0.9997076142638548,0.9997525542098291,0.9995369623430376,0.9995932195408264,0.9998128736755378,0.9999258496087972,0.9992249439134001,0.9995192140036174,0.999114946300175,0.999572879013978,0.9998761206501543,0.9995919503565178,0.0002120608637973883,23
52.94666525522868,0.34246283352160767,0.6754361152648926,0.016742891814099745,0.07,5,1000,"{'max_features': 0.07, 'min_samples_split': 5, 'n_estimators': 1000}",0.999766571796652,0.9995185160450228,0.9994964823699514,0.999521418437005,0.9996924289485689,0.9997681267282555,0.9995182427682691,0.9996715735362738,0.999707798422091,0.9999220597953297,0.999280665043847,0.9993606950329212,0.9991263584292082,0.999656335126244,0.999870875029141,0.9995918765005852,0.0002120332636356357,24
