mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.05709093411763509,0.005308574522927662,0.09444408416748047,0.004058598351311755,2.310129700083158e-08,{'var_smoothing': 2.310129700083158e-08},0.8372070572504391,0.8382773912146274,0.8373201378820326,0.8357211610568782,0.8447780062290902,0.8318864724589314,0.8434489853957396,0.8304117295010693,0.8375491397575809,0.8365140612906466,0.8404560511613319,0.835079758705189,0.8340500879941916,0.841315699282794,0.8367484502668135,0.8373842792964904,0.0037982237150845943,26
0.05794258117675781,0.0033976677719046735,0.09518162409464519,0.007989237680562544,1.2328467394420635e-09,{'var_smoothing': 1.2328467394420635e-09},0.8372065665473235,0.838279411204625,0.8373211053076066,0.8357225833177067,0.8447782895983725,0.8318880396008247,0.8434509351300719,0.830414673116211,0.8375482607872499,0.8365151135686156,0.8404361736992056,0.8350807670595441,0.834049608986308,0.8413195190034566,0.8367488664305895,0.8373839942238473,0.003797106642903984,27
0.057323185602823894,0.005206309246310823,0.08221228917439778,0.014056051646771378,1e-09,{'var_smoothing': 1e-09},0.8372064181039599,0.838279411204625,0.8373211062112599,0.83572268004724,0.844778378837699,0.831887942754582,0.8434509351300719,0.8304147961188963,0.8375482607872499,0.8365148100701024,0.8404361736992056,0.8350807670595441,0.834049608986308,0.8413196312100416,0.8367489864016727,0.8373839937748305,0.0037971212091108576,28
0.0582863171895345,0.004602358258668277,0.09289148648579916,0.0040999000322967955,1.519911082952933e-09,{'var_smoothing': 1.519911082952933e-09},0.8372064468505315,0.8382796898442019,0.8373209732632635,0.8357225833177067,0.8447782895983725,0.8318880396008247,0.8434510472733336,0.830414673116211,0.8375481475552717,0.8365151135686156,0.8404362867458423,0.8350805470858106,0.834049608986308,0.8413195190034566,0.8367488664305895,0.8373839888160226,0.0037971381157275393,29
0.058069737752278645,0.004384644661809559,0.0937482515970866,0.004076641881681048,1.873817422860387e-09,{'var_smoothing': 1.873817422860387e-09},0.8372065622996866,0.8382795701474101,0.8373208501357725,0.8357224639809165,0.8447782895983725,0.8318877605743719,0.8434509275765416,0.830414785322796,0.8375481475552717,0.8365151135686156,0.840436262938532,0.8350806603177885,0.8340497220329446,0.8413195190034566,0.8367488477920997,0.8373839655229717,0.0037971276713197827,30
0.0588953177134196,0.0047218312248908795,0.09337813059488932,0.003648012766630848,2.310129700083158e-09,{'var_smoothing': 2.310129700083158e-09},0.8372065622996866,0.8382795701474101,0.8373206719704964,0.8357224639809165,0.8447781699015806,0.8318877769601072,0.8434506899571751,0.8304145633266277,0.8375482555711212,0.8365151135686156,0.840436262938532,0.8350806603177885,0.8340499357816776,0.8413193993066646,0.8367487314037139,0.8373839218288076,0.0037970934278753884,31
0.059355608622233075,0.005245867643633629,0.09293554623921713,0.004101243906627056,2.848035868435805e-09,{'var_smoothing': 2.848035868435805e-09},0.8372066514756896,0.8382793374039814,0.8373209006872069,0.8357224639809165,0.8447780258520009,0.8318877769601072,0.8434504686549118,0.830414295395942,0.8375485172331778,0.8365151135686156,0.8404365537981073,0.8350806603177885,0.8340500316078362,0.8413191551832891,0.8367485829736353,0.8373839023395472,0.003797075272616035,32
0.05901150703430176,0.009919962503706848,0.09402354558308919,0.005200175898881943,2.848035868435799e-08,{'var_smoothing': 2.848035868435799e-08},0.8372069306598865,0.838277108014255,0.8373192681608167,0.8357205897878138,0.8447775442171225,0.8318861978011102,0.843448330115711,0.830410546771873,0.8375491931284585,0.8365137447579938,0.8404550585909881,0.8350787492994647,0.8340497004847142,0.8413160105566574,0.8367483819794513,0.8373838236217543,0.0037983161067455355,33
0.05827932357788086,0.004315546042262853,0.0955903689066569,0.006344896046445751,5.336699231206302e-09,{'var_smoothing': 5.336699231206302e-09},0.8372059351075238,0.838278607532593,0.837321158766566,0.8357223309512817,0.8447777241579563,0.8318874665518141,0.8434502960822184,0.8304142944686816,0.8375486371484119,0.8365151464175674,0.8404368422220261,0.8350805766922598,0.8340502024846879,0.8413190299166543,0.8367485968495888,0.8373837896899888,0.003797042027126961,34
0.0579002062479655,0.0048139010303043924,0.09365611076354981,0.00910000464561127,3.5111917342151273e-09,{'var_smoothing': 3.5111917342151273e-09},0.8372065030323261,0.8382790761234514,0.8373208667632,0.8357222254581753,0.8447776498118351,0.8318875285273781,0.8434503556082752,0.8304140536895684,0.8375486327179104,0.8365148421225671,0.8404365112514166,0.8350808767088248,0.8340500570485142,0.8413191551832891,0.8367484697416574,0.8373837869192259,0.003797064533997577,35
0.05786592165629069,0.0046212450893688166,0.09309662183125814,0.004037591459355958,4.328761281083061e-09,{'var_smoothing': 4.328761281083061e-09},0.8372062570269555,0.8382786017608581,0.8373211005723732,0.8357223376014369,0.8447776693912673,0.8318874183768005,0.8434506065604849,0.8304143011188371,0.8375484159005845,0.8365148979387775,0.8404365907365863,0.8350808767088248,0.8340501773736072,0.8413190299166543,0.836748518445271,0.8373837866286212,0.003797050481226947,36
0.05766719182332357,0.005643494438644655,0.09560009638468424,0.004212209467900216,6.579332246575682e-09,{'var_smoothing': 6.579332246575682e-09},0.8372060734855686,0.8382780946384804,0.8373212675121934,0.8357221825079183,0.8447777175078007,0.8318871599795987,0.843450284663983,0.8304144296425252,0.8375487602759029,0.8365150505914091,0.8404368477918691,0.8350806159504215,0.8340502559727355,0.8413186309092299,0.8367485802899782,0.837383730114641,0.0037970187312882085,37
